SYSTEM:Time(s)	SubMechanism.ibFlap/Flap:roll(deg)	SubMechanism.ibFlap/Flap:x(mm)	SubMechanism.ibFlap/Flap:y(mm)	SubMechanism.ibFlap/Flap:z(mm)
0.255	-0.571	24534.893	-3853.569	3190.276	
0.256	-0.571	24534.895	-3853.569	3190.276	
0.257	-0.571	24534.897	-3853.569	3190.275	
0.258	-0.571	24534.899	-3853.569	3190.275	
0.259	-0.57	24534.901	-3853.568	3190.275	
0.26	-0.57	24534.903	-3853.568	3190.275	
0.261	-0.57	24534.904	-3853.568	3190.274	
0.262	-0.57	24534.904	-3853.568	3190.274	
0.263	-0.57	24534.906	-3853.568	3190.274	
0.264	-0.57	24534.908	-3853.567	3190.274	
0.265	-0.57	24534.91	-3853.567	3190.273	
0.266	-0.57	24534.912	-3853.567	3190.273	
0.267	-0.57	24534.914	-3853.567	3190.273	
0.268	-0.57	24534.916	-3853.567	3190.273	
0.269	-0.57	24534.918	-3853.566	3190.272	
0.27	-0.569	24534.92	-3853.566	3190.272	
0.271	-0.569	24534.922	-3853.566	3190.272	
0.272	-0.569	24534.924	-3853.566	3190.271	
0.273	-0.569	24534.925	-3853.566	3190.271	
0.274	-0.569	24534.927	-3853.565	3190.271	
0.275	-0.569	24534.929	-3853.565	3190.27	
0.276	-0.569	24534.931	-3853.565	3190.27	
0.277	-0.569	24534.933	-3853.565	3190.27	
0.278	-0.569	24534.935	-3853.565	3190.27	
0.279	-0.569	24534.937	-3853.565	3190.269	
0.28	-0.569	24534.939	-3853.564	3190.269	
0.281	-0.569	24534.941	-3853.564	3190.269	
0.282	-0.568	24534.943	-3853.564	3190.269	
0.283	-0.568	24534.945	-3853.564	3190.268	
0.284	-0.568	24534.946	-3853.563	3190.268	
0.285	-0.568	24534.948	-3853.563	3190.268	
0.286	-0.568	24534.95	-3853.563	3190.267	
0.287	-0.568	24534.952	-3853.563	3190.267	
0.288	-0.568	24534.954	-3853.562	3190.267	
0.289	-0.568	24534.956	-3853.562	3190.266	
0.29	-0.568	24534.958	-3853.562	3190.266	
0.291	-0.568	24534.96	-3853.562	3190.266	
0.292	-0.568	24534.962	-3853.562	3190.265	
0.293	-0.567	24534.964	-3853.561	3190.265	
0.294	-0.567	24534.966	-3853.561	3190.265	
0.295	-0.567	24534.967	-3853.561	3190.264	
0.296	-0.567	24534.971	-3853.561	3190.264	
0.297	-0.567	24534.973	-3853.56	3190.264	
0.298	-0.567	24534.975	-3853.56	3190.264	
